WABANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONG,LAT,AIR_TEMP,PERCP,SOLAR_RAD,SR_FLAG,SURFACE_TEMP,ST_TYPE,ST_FLAG,RELATIVE_HUMIDITY,RH_FLAG,WIND_1_5,WIND_FLAG
23907,20230101,5,20221231,1805,2.623,-98.08,30.62,20,0,0,0,16.9,C,0,39,0,2.94,0
23907,20230101,10,20221231,1810,2.623,-98.08,30.62,19.9,0,0,0,16.7,C,0,39,0,2.37,0
23907,20230101,15,20221231,1815,2.623,-98.08,30.62,19.7,0,0,0,16.5,C,0,40,0,2.54,0
23907,20230101,20,20221231,1820,2.623,-98.08,30.62,19.7,0,0,0,16.5,C,0,40,0,2.99,0
23907,20230101,25,20221231,1825,2.623,-98.08,30.62,19.7,0,0,0,16.4,C,0,39,0,2.8,0
23907,20230101,30,20221231,1830,2.623,-98.08,30.62,19.5,0,0,0,16.3,C,0,40,0,2.47,0
23907,20230101,35,20221231,1835,2.623,-98.08,30.62,19.4,0,0,0,16.1,C,0,40,0,2.53,0
23907,20230101,40,20221231,1840,2.623,-98.08,30.62,19.5,0,0,0,16.2,C,0,40,0,2.79,0
23907,20230101,45,20221231,1845,2.623,-98.08,30.62,19.4,0,0,0,16.1,C,0,40,0,2.82,0
23907,20230101,50,20221231,1850,2.623,-98.08,30.62,19.4,0,0,0,16,C,0,40,0,2.76,0
23907,20230101,55,20221231,1855,2.623,-98.08,30.62,19.1,0,0,0,15.8,C,0,41,0,2.23,0
23907,20230101,100,20221231,1900,2.623,-98.08,30.62,19,0,0,0,15.6,C,0,41,0,2.22,0
23907,20230101,105,20221231,1905,2.623,-98.08,30.62,19,0,0,0,15.5,C,0,41,0,2.25,0
23907,20230101,110,20221231,1910,2.623,-98.08,30.62,18.9,0,0,0,15.5,C,0,41,0,2.26,0
23907,20230101,115,20221231,1915,2.623,-98.08,30.62,18.7,0,0,0,15.3,C,0,42,0,2.21,0
23907,20230101,120,20221231,1920,2.623,-98.08,30.62,18.7,0,0,0,15.3,C,0,42,0,2.41,0
23907,20230101,125,20221231,1925,2.623,-98.08,30.62,18.6,0,0,0,15.2,C,0,42,0,2.23,0
23907,20230101,130,20221231,1930,2.623,-98.08,30.62,18.4,0,0,0,15,C,0,43,0,1.97,0
23907,20230101,135,20221231,1935,2.623,-98.08,30.62,18.4,0,0,0,15,C,0,43,0,2.22,0
23907,20230101,140,20221231,1940,2.623,-98.08,30.62,18.4,0,0,0,14.9,C,0,43,0,2.14,0
23907,20230101,145,20221231,1945,2.623,-98.08,30.62,18.3,0,0,0,14.8,C,0,43,0,2.19,0
23907,20230101,150,20221231,1950,2.623,-98.08,30.62,18.3,0,0,0,14.8,C,0,43,0,2.1,0
23907,20230101,155,20221231,1955,2.623,-98.08,30.62,18.3,0,0,0,14.7,C,0,43,0,2.09,0
23907,20230101,200,20221231,2000,2.623,-98.08,30.62,18.1,0,0,0,14.6,C,0,43,0,1.71,0
23907,20230101,205,20221231,2005,2.623,-98.08,30.62,18,0,0,0,14.4,C,0,43,0,1.67,0
23907,20230101,210,20221231,2010,2.623,-98.08,30.62,18,0,0,0,14.4,C,0,43,0,1.73,0
23907,20230101,215,20221231,2015,2.623,-98.08,30.62,17.8,0,0,0,14.3,C,0,44,0,1.61,0
23907,20230101,220,20221231,2020,2.623,-98.08,30.62,17.8,0,0,0,14.3,C,0,44,0,1.7,0
23907,20230101,225,20221231,2025,2.623,-98.08,30.62,17.8,0,0,0,14.3,C,0,44,0,1.95,0
23907,20230101,230,20221231,2030,2.623,-98.08,30.62,17.8,0,0,0,14.3,C,0,44,0,1.87,0
23907,20230101,235,20221231,2035,2.623,-98.08,30.62,17.7,0,0,0,14.2,C,0,44,0,2.15,0
23907,20230101,240,20221231,2040,2.623,-98.08,30.62,17.7,0,0,0,14.1,C,0,44,0,1.99,0
23907,20230101,245,20221231,2045,2.623,-98.08,30.62,17.6,0,0,0,14.1,C,0,44,0,2.01,0
23907,20230101,250,20221231,2050,2.623,-98.08,30.62,17.5,0,0,0,14,C,0,44,0,1.81,0
23907,20230101,255,20221231,2055,2.623,-98.08,30.62,17.4,0,0,0,13.9,C,0,44,0,1.83,0
23907,20230101,300,20221231,2100,2.623,-98.08,30.62,17.5,0,0,0,13.9,C,0,44,0,1.91,0
23907,20230101,305,20221231,2105,2.623,-98.08,30.62,17.7,0,0,0,13.9,C,0,44,0,2.06,0
23907,20230101,310,20221231,2110,2.623,-98.08,30.62,17.7,0,0,0,13.9,C,0,43,0,2.41,0
23907,20230101,315,20221231,2115,2.623,-98.08,30.62,17.7,0,0,0,13.9,C,0,44,0,2.32,0
23907,20230101,320,20221231,2120,2.623,-98.08,30.62,17.7,0,0,0,13.9,C,0,43,0,2.5,0
23907,20230101,325,20221231,2125,2.623,-98.08,30.62,18,0,0,0,14.1,C,0,43,0,2.8,0
23907,20230101,330,20221231,2130,2.623,-98.08,30.62,18,0,0,0,14,C,0,42,0,2.58,0
23907,20230101,335,20221231,2135,2.623,-98.08,30.62,18.1,0,0,0,14,C,0,42,0,2.64,0
23907,20230101,340,20221231,2140,2.623,-98.08,30.62,18.1,0,0,0,14.1,C,0,42,0,2.8,0
23907,20230101,345,20221231,2145,2.623,-98.08,30.62,18.3,0,0,0,14.2,C,0,42,0,3.22,0
23907,20230101,350,20221231,2150,2.623,-98.08,30.62,18.3,0,0,0,14.2,C,0,41,0,2.98,0
23907,20230101,355,20221231,2155,2.623,-98.08,30.62,18.3,0,0,0,14.2,C,0,41,0,2.94,0
